[26/Feb/2017:17:05:15 +0000] 127.0.0.1 "GET /uploadedphotos/photos/org/home HTTP/1.1" 200 (3846 ms)
[26/Feb/2017:17:05:15 +0000] 127.0.0.1 "GET /comm/clear.cache.gif HTTP/1.1" 200 (7 ms)
[26/Feb/2017:17:05:15 +0000] 127.0.0.1 "GET /uploadedphotos/photos/org/listen HTTP/1.1" 200 (515 ms)
[26/Feb/2017:17:05:15 +0000] 127.0.0.1 "GET /uploadedphotos/photos/org/aboutus HTTP/1.1" 200 (436 ms)
[26/Feb/2017:17:05:15 +0000] 127.0.0.1 "GET /uploadedphotos/photos/org/aboutpastor HTTP/1.1" 200 (4378 ms)
[26/Feb/2017:17:05:15 +0000] 127.0.0.1 "GET /uploadedphotos/photos/org/pastordesk HTTP/1.1" 200 (4274 ms)
[26/Feb/2017:17:05:15 +0000] 127.0.0.1 "GET /uploadedphotos/photos/org/youtube HTTP/1.1" 200 (616 ms)
[26/Feb/2017:17:05:17 +0000] 127.0.0.1 "GET /images/app/website.png HTTP/1.1" 200 (7 ms)
[26/Feb/2017:17:05:17 +0000] 127.0.0.1 "POST /comm/cgservice HTTP/1.1" 200 (85 ms)
[26/Feb/2017:17:05:19 +0000] 127.0.0.1 "GET /images/app/icons.gif HTTP/1.1" 200 (11 ms)
[26/Feb/2017:17:05:48 +0000] 127.0.0.1 "GET / HTTP/1.1" 302 (2 ms)
[26/Feb/2017:17:05:48 +0000] 127.0.0.1 "GET / HTTP/1.1" 200 (8 ms)
[26/Feb/2017:17:05:48 +0000] 127.0.0.1 "GET /admin.htm HTTP/1.1" 200 (10 ms)
[26/Feb/2017:17:11:04 +0000] 127.0.0.1 "GET /admin.htm HTTP/1.1" 200 (18 ms)
[26/Feb/2017:17:11:04 +0000] 127.0.0.1 "GET /churchguru.css HTTP/1.1" 200 (58 ms)
[26/Feb/2017:17:11:04 +0000] 127.0.0.1 "GET /RichTextToolbar.css HTTP/1.1" 200 (12 ms)
[26/Feb/2017:17:11:04 +0000] 127.0.0.1 "GET /comm/comm.nocache.js HTTP/1.1" 200 (12 ms)
[26/Feb/2017:17:11:04 +0000] 127.0.0.1 "GET /images/app/ajax-loader-white-bg.gif HTTP/1.1" 200 (9 ms)
[26/Feb/2017:17:11:04 +0000] 127.0.0.1 "GET /comm/Upload.css HTTP/1.1" 200 (8 ms)
[26/Feb/2017:17:11:04 +0000] 127.0.0.1 "GET /comm/gwt/clean/clean.css HTTP/1.1" 200 (21 ms)
